        Белгородская область;ru-bl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Брянская область;ru-br;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Владимирская область;ru-vl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Воронежская область;ru-vr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ивановская область;ru-iv;0;0;0;0;0;0;36904608992;23749236931;40690860560;29326671661;25479813023;17810971572;18266430963;17913282694;10198692057;19682480513;24440301061;33390020739;38220632124;47494022157;21086843274
        Калужская область;ru-kg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Костромская область;ru-kt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Курская область;ru-ks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Липецкая область;ru-lp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Московская область;ru-2509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Орловская область;ru-ol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Рязанская область;ru-rz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Смоленская область;ru-sm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тамбовская область;ru-tb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тверская область;ru-tv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тульская область;ru-tl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ярославская область;ru-ys;0;0;0;0;0;0;0;0;0;18588868470;28142310450;28939949481;47311669942;30061798262;26671470104;48569564065;46345115084;19751018283;26333123377;31995488247;40685654119
        Город Москва столица Российской Федерации город федерального значения;ru-ms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Карелия;ru-ki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Коми;ru-ki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Архангельская область;ru-ar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
            Ненецкий автономный округ (Архангельская область);ru-nn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Вологодская область;ru-vo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ростовская область;ru-ro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Дагестан;ru-da;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Ингушетия*;ru-in;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Кабардино-Балкарская Республика;ru-kb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Карачаево-Черкесская Республика;ru-kc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
