        Белгородская область;ru-bl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Брянская область;ru-br;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Владимирская область;ru-vl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Воронежская область;ru-vr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ивановская область;ru-iv;0;0;0;0;0;0;45727298708;47649259597;32943845857;30334888152;22276813820;48218208648;32583247859;33122042589;45444654245;42369550070;28322874876;18369418933;24002902961;21072803529;28246841657
        Калужская область;ru-kg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Костромская область;ru-kt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Курская область;ru-ks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Липецкая область;ru-lp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Московская область;ru-2509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Орловская область;ru-ol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Рязанская область;ru-rz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Смоленская область;ru-sm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тамбовская область;ru-tb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тверская область;ru-tv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Тульская область;ru-tl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ярославская область;ru-ys;0;0;0;0;0;0;0;0;0;20908325209;25521157083;28613905650;13238666482;10454817099;20296390754;33716421785;42052769119;25459284410;14510890876;33866686743;20520129980
        Город Москва столица Российской Федерации город федерального значения;ru-ms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Карелия;ru-ki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Коми;ru-ki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Архангельская область;ru-ar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
            Ненецкий автономный округ (Архангельская область);ru-nn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Вологодская область;ru-vo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Ростовская область;ru-ro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Дагестан;ru-da;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Республика Ингушетия*;ru-in;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Кабардино-Балкарская Республика;ru-kb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Карачаево-Черкесская Республика;ru-kc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
